Código,Nome empresa,cd2,link Bovespa,Nome completo empresa,Link trading view,Link google,Segmento empresa,SETOR,SUBSETOR,SEGMENTO
VSPT4,FER C ATLANT,VSPT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=15369,FERROVIA CENTRO-ATLANTICA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-VSPT4,https://www.google.com/search?q=FER C ATLANT Transporte Ferroviário,Transporte Ferroviário,Bens Industriais,Transporte,Transporte Ferroviário
VULC3,VULCABRAS,VULC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11762,VULCABRAS/AZALEIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-VULC3,https://www.google.com/search?q=VULCABRAS Calçados,Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
VVAR3,VIAVAREJO,VVAR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=6505,VIA VAREJO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-VVAR3,https://www.google.com/search?q=VIAVAREJO Eletrodomésticos,Eletrodomésticos,Consumo Cíclico,Comércio,Eletrodomésticos
WEGE3,WEG,WEGE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=5410,WEG S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-WEGE3,"https://www.google.com/search?q=WEG Motores, Compressores e Outros","Motores, Compressores e Outros",Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros"
WHRL3,WHIRLPOOL,WHRL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14346,WHIRLPOOL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-WHRL3,https://www.google.com/search?q=WHIRLPOOL Eletrodomésticos,Eletrodomésticos,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
WHRL4,WHIRLPOOL,WHRL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=14346,WHIRLPOOL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-WHRL4,https://www.google.com/search?q=WHIRLPOOL Eletrodomésticos,Eletrodomésticos,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
WIZS3,WIZ S.A.,WIZS,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23590,WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-WIZS3,https://www.google.com/search?q=WIZ S.A. Corretoras de Seguros,Corretoras de Seguros,Financeiro,Previdência e Seguros,Corretoras de Seguros
WLMM3,WLM IND COM,WLMM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11070,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-WLMM3,https://www.google.com/search?q=WLM IND COM Material de Transporte,Material de Transporte,Bens Industriais,Comércio,Material de Transporte
WLMM4,WLM IND COM,WLMM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11070,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-WLMM4,https://www.google.com/search?q=WLM IND COM Material de Transporte,Material de Transporte,Bens Industriais,Comércio,Material de Transporte
WSON33,WILSON SONS,WSON,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=80047,WILSON SONS LTD.,https://br.tradingview.com/symbols/BMFBOVESPA-WSON33,https://www.google.com/search?q=WILSON SONS Serviços de Apoio e Armazenagem,Serviços de Apoio e Armazenagem,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem
