Código,Nome empresa,cd2,link Bovespa,Nome completo empresa,Link trading view,Link google,Segmento empresa,SETOR,SUBSETOR,SEGMENTO
AALR3,ALLIAR,AALR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24058,CENTRO DE IMAGEM DIAGNOSTICOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AALR3,https://www.google.com/search?q=ALLIAR Análises e Diagnósticos,Análises e Diagnósticos,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
ABCB4,ABC BRASIL,ABCB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20958,BCO ABC BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ABCB4,https://www.google.com/search?q=ABC BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
ABEV3,AMBEV S/A,ABEV,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23264,AMBEV S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ABEV3,https://www.google.com/search?q=AMBEV S/A Cervejas e Refrigerantes,Cervejas e Refrigerantes,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
AERI3,AERIS,AERI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25283&idioma=pt-br,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,https://br.tradingview.com/symbols/BMFBOVESPA-AERI3,https://www.google.com/search?q=AERIS Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
AFLT3,AFLUENTE T,AFLT,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22179,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,https://br.tradingview.com/symbols/BMFBOVESPA-AFLT3,https://www.google.com/search?q=AFLUENTE T Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO3,BRASILAGRO,AGRO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20036,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,https://br.tradingview.com/symbols/BMFBOVESPA-AGRO3,https://www.google.com/search?q=BRASILAGRO Agricultura,Agricultura,Consumo não Cíclico,Agropecuária,Agricultura
AHEB3,SPTURIS,AHEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415,SAO PAULO TURISMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AHEB3,https://www.google.com/search?q=SPTURIS Produção de Eventos e Shows,Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB5,SPTURIS,AHEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415,SAO PAULO TURISMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AHEB5,https://www.google.com/search?q=SPTURIS Produção de Eventos e Shows,Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB6,SPTURIS,AHEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=9415,SAO PAULO TURISMO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AHEB6,https://www.google.com/search?q=SPTURIS Produção de Eventos e Shows,Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALEF3B,ALEF S/A,ALEF,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=16705,ALEF S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALEF3B,https://www.google.com/search?q=ALEF S/A Outros,Outros,Outros,Outros,Outros
ALPA3,ALPARGATAS,ALPA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10456,ALPARGATAS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALPA3,https://www.google.com/search?q=ALPARGATAS Calçados,Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPA4,ALPARGATAS,ALPA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=10456,ALPARGATAS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALPA4,https://www.google.com/search?q=ALPARGATAS Calçados,Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados
ALPK3,ESTAPAR,ALPK,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24953&idioma=pt-br,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,https://br.tradingview.com/symbols/BMFBOVESPA-ALPK3,https://www.google.com/search?q=ESTAPAR Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
ALSO3,ALIANSCSONAE,ALSO,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22357,ALIANSCE SONAE SHOPPING CENTERS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ALSO3,https://www.google.com/search?q=ALIANSCSONAE Exploração de Imóveis,Exploração de Imóveis,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALUP11,ALUPAR,ALUP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21490,ALUPAR INVESTIMENTO S/A,https://br.tradingview.com/symbols/BMFBOVESPA-ALUP3,https://www.google.com/search?q=ALUPAR Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP3,ALUPAR,ALUP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21490,ALUPAR INVESTIMENTO S/A,https://br.tradingview.com/symbols/BMFBOVESPA-ALUP3,https://www.google.com/search?q=ALUPAR Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP4,ALUPAR,ALUP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21490,ALUPAR INVESTIMENTO S/A,https://br.tradingview.com/symbols/BMFBOVESPA-ALUP3,https://www.google.com/search?q=ALUPAR Energia Elétrica,Energia Elétrica,Utilidade Pública,Energia Elétrica,Energia Elétrica
AMAR3,LOJAS MARISA,AMAR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22055,MARISA LOJAS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AMAR3,"https://www.google.com/search?q=LOJAS MARISA Tecidos, Vestuário e Calçados","Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
AMBP3,AMBIPAR,AMBP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24961&idioma=pt-br,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,https://br.tradingview.com/symbols/BMFBOVESPA-AMBP3,https://www.google.com/search?q=AMBIPAR Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
ANIM3,ANIMA,ANIM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23248,ANIMA HOLDING S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ANIM3,https://www.google.com/search?q=ANIMA Serviços Educacionais,Serviços Educacionais,Consumo Cíclico,Diversos,Serviços Educacionais
APER3,ALPER S.A.,APER,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22217,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-APER3,https://www.google.com/search?q=ALPER S.A. Corretoras de Seguros,Corretoras de Seguros,Financeiro,Previdência e Seguros,Corretoras de Seguros
APTI3,ALIPERTI,APTI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12823,SIDERURGICA J. L. ALIPERTI S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-APTI3,https://www.google.com/search?q=ALIPERTI Agricultura,Agricultura,Consumo não Cíclico,Agropecuária,Agricultura
APTI4,ALIPERTI,APTI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12823,SIDERURGICA J. L. ALIPERTI S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-APTI4,https://www.google.com/search?q=ALIPERTI Agricultura,Agricultura,Consumo não Cíclico,Agropecuária,Agricultura
ARZZ3,AREZZO CO,ARZZ,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22349,AREZZO INDÚSTRIA E COMÉRCIO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ARZZ3,"https://www.google.com/search?q=AREZZO CO Tecidos, Vestuário e Calçados","Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados"
ATOM3,ATOMPAR,ATOM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=15423,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-ATOM3,https://www.google.com/search?q=ATOMPAR Outros,Outros,Outros,Outros,Outros
AVLL3,ALPHAVILLE,AVLL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25275&idioma=pt-br,ALPHAVILLE S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AVLL3,https://www.google.com/search?q=ALPHAVILLE Incorporações,Incorporações,Consumo Cíclico,Construção Civil,Incorporações
AZEV3,AZEVEDO,AZEV,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11975,AZEVEDO E TRAVASSOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AZEV3,https://www.google.com/search?q=AZEVEDO Construção Pesada,Construção Pesada,Bens Industriais,Construção e Engenharia,Construção Pesada
AZEV4,AZEVEDO,AZEV,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=11975,AZEVEDO E TRAVASSOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AZEV4,https://www.google.com/search?q=AZEVEDO Construção Pesada,Construção Pesada,Bens Industriais,Construção e Engenharia,Construção Pesada
AZUL4,AZUL,AZUL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24112,AZUL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-AZUL4,https://www.google.com/search?q=AZUL Transporte Aéreo,Transporte Aéreo,Bens Industriais,Transporte,Transporte Aéreo
B3SA3,B3,B3SA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21610,B3 S.A. - BRASIL. BOLSA. BALCÃO,https://br.tradingview.com/symbols/BMFBOVESPA-B3SA3,https://www.google.com/search?q=B3 Serviços Financeiros Diversos,Serviços Financeiros Diversos,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BAHI3,BAHEMA,BAHI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=701,BAHEMA EDUCAÇÃO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BAHI3,https://www.google.com/search?q=BAHEMA Serviços Educacionais,Serviços Educacionais,Consumo Cíclico,Diversos,Serviços Educacionais
BALM3,BAUMER,BALM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1562,BAUMER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BALM3,https://www.google.com/search?q=BAUMER Equipamentos,Equipamentos,Saúde,Equipamentos,Equipamentos
BALM4,BAUMER,BALM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1562,BAUMER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BALM4,https://www.google.com/search?q=BAUMER Equipamentos,Equipamentos,Saúde,Equipamentos,Equipamentos
BAUH3,EXCELSIOR,BAUH,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1570,EXCELSIOR ALIMENTOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BAUH3,https://www.google.com/search?q=EXCELSIOR Carnes e Derivados,Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BAUH4,EXCELSIOR,BAUH,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1570,EXCELSIOR ALIMENTOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BAUH4,https://www.google.com/search?q=EXCELSIOR Carnes e Derivados,Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BAZA3,AMAZONIA,BAZA,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=922,BCO AMAZONIA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BAZA3,https://www.google.com/search?q=AMAZONIA Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BBAS3,BRASIL,BBAS,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1023,BCO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBAS3,https://www.google.com/search?q=BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BBAS4,BRASIL,BBAS,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1023,BCO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBAS4,https://www.google.com/search?q=BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BBDC3,BRADESCO,BBDC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=906,BCO BRADESCO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBDC3,https://www.google.com/search?q=BRADESCO Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BBDC4,BRADESCO,BBDC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=906,BCO BRADESCO S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBDC3,https://www.google.com/search?q=BRADESCO Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BBML3,BBMLOGISTICA,BBML,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24660,BBM LOGISTICA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBML3,https://www.google.com/search?q=BBMLOGISTICA Serviços Diversos,Serviços Diversos,Bens Industriais,Serviços Diversos,Serviços Diversos
BBRK3,BR BROKERS,BBRK,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21180,BRASIL BROKERS PARTICIPACOES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBRK3,https://www.google.com/search?q=BR BROKERS Intermediação Imobiliária,Intermediação Imobiliária,Financeiro,Exploração de Imóveis,Intermediação Imobiliária
BBSE3,BBSEGURIDADE,BBSE,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=23159,BB SEGURIDADE PARTICIPAÇÕES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BBSE3,https://www.google.com/search?q=BBSEGURIDADE Seguradoras,Seguradoras,Financeiro,Previdência e Seguros,Seguradoras
BDLL3,BARDELLA,BDLL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1520,BARDELLA S.A. INDUSTRIAS MECANICAS,https://br.tradingview.com/symbols/BMFBOVESPA-BDLL3,https://www.google.com/search?q=BARDELLA Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BDLL4,BARDELLA,BDLL,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1520,BARDELLA S.A. INDUSTRIAS MECANICAS,https://br.tradingview.com/symbols/BMFBOVESPA-BDLL4,https://www.google.com/search?q=BARDELLA Máq. e Equip. Industriais,Máq. e Equip. Industriais,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
BEEF3,MINERVA,BEEF,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=20931,MINERVA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BEEF3,https://www.google.com/search?q=MINERVA Carnes e Derivados,Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BEES3,BANESTES,BEES,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1155,BANESTES S.A. - BCO EST ESPIRITO SANTO,https://br.tradingview.com/symbols/BMFBOVESPA-BEES3,https://www.google.com/search?q=BANESTES Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BEES4,BANESTES,BEES,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1155,BANESTES S.A. - BCO EST ESPIRITO SANTO,https://br.tradingview.com/symbols/BMFBOVESPA-BEES4,https://www.google.com/search?q=BANESTES Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BETP3B,BETAPART,BETP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=17884&idioma=pt-br,BETAPART PARTICIPACOES S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BETP3B,https://www.google.com/search?q=BETAPART Outros,Outros,Outros,Outros,Outros
BGIP3,BANESE,BGIP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1120,BCO ESTADO DE SERGIPE S.A. - BANESE,https://br.tradingview.com/symbols/BMFBOVESPA-BGIP3,https://www.google.com/search?q=BANESE Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BGIP4,BANESE,BGIP,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1120,BCO ESTADO DE SERGIPE S.A. - BANESE,https://br.tradingview.com/symbols/BMFBOVESPA-BGIP4,https://www.google.com/search?q=BANESE Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BIDI11,BANCO INTER,BIDI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24406,BANCO INTER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BIDI11,https://www.google.com/search?q=BANCO INTER Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BIDI3,BANCO INTER,BIDI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24406,BANCO INTER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BIDI3,https://www.google.com/search?q=BANCO INTER Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BIDI4,BANCO INTER,BIDI,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24406,BANCO INTER S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BIDI4,https://www.google.com/search?q=BANCO INTER Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BIOM3,BIOMM,BIOM,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=19305,BIOMM S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BIOM3,https://www.google.com/search?q=BIOMM Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BKBR3,BK BRASIL,BKBR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24317,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA,https://br.tradingview.com/symbols/BMFBOVESPA-BKBR3,https://www.google.com/search?q=BK BRASIL Restaurante e Similares,Restaurante e Similares,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
BMEB3,MERC BRASIL,BMEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1325,BCO MERCANTIL DO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BMEB3,https://www.google.com/search?q=MERC BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BMEB4,MERC BRASIL,BMEB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1325,BCO MERCANTIL DO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BMEB4,https://www.google.com/search?q=MERC BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BMGB4,BANCO BMG,BMGB,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=24600,BANCO BMG,https://br.tradingview.com/symbols/BMFBOVESPA-BMGB4,https://www.google.com/search?q=BANCO BMG Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BMIN3,MERC INVEST,BMIN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1309,BCO MERCANTIL DE INVESTIMENTOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BMIN3,https://www.google.com/search?q=MERC INVEST Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BMIN4,MERC INVEST,BMIN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1309,BCO MERCANTIL DE INVESTIMENTOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BMIN4,https://www.google.com/search?q=MERC INVEST Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BMKS3,BIC MONARK,BMKS,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1694,BICICLETAS MONARK S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BMKS3,https://www.google.com/search?q=BIC MONARK Bicicletas,Bicicletas,Consumo Cíclico,Viagens e Lazer,Bicicletas
BNBR3,NORD BRASIL,BNBR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1228,BCO NORDESTE DO BRASIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BNBR3,https://www.google.com/search?q=NORD BRASIL Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BOAS3,BOA VISTA,BOAS,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=25135&idioma=pt-br,BOA VISTA SERVIÇOS S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BOAS3,https://www.google.com/search?q=BOA VISTA Serviços Financeiros Diversos,Serviços Financeiros Diversos,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BOBR3,BOMBRIL,BOBR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12190,BOMBRIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BOBR3,https://www.google.com/search?q=BOMBRIL Produtos de Limpeza,Produtos de Limpeza,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BOBR4,BOMBRIL,BOBR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=12190,BOMBRIL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BOBR4,https://www.google.com/search?q=BOMBRIL Produtos de Limpeza,Produtos de Limpeza,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BPAC11,BTGP BANCO,BPAC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22616,BCO BTG PACTUAL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BPAC11,https://www.google.com/search?q=BTGP BANCO Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BPAC3,BTGP BANCO,BPAC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22616,BCO BTG PACTUAL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BPAC3,https://www.google.com/search?q=BTGP BANCO Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BPAC5,BTGP BANCO,BPAC,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=22616,BCO BTG PACTUAL S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BPAC5,https://www.google.com/search?q=BTGP BANCO Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BPAN4,BANCO PAN,BPAN,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=21199,BCO PAN S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BPAN4,https://www.google.com/search?q=BANCO PAN Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
BPAR3,BANPARA,BPAR,http://bvmf.bmfbovespa.com.br/cias-listadas/empresas-listadas/ResumoEmpresaPrincipal.aspx?codigoCvm=1171,BCO ESTADO DO PARA S.A.,https://br.tradingview.com/symbols/BMFBOVESPA-BPAR3,https://www.google.com/search?q=BANPARA Bancos,Bancos,Financeiro,Intermediários Financeiros,Bancos
